"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2011",43801.566487,
"AUS","GDP","TOT","USD_CAP","A","2012",43675.724504,
"AUS","GDP","TOT","USD_CAP","A","2013",44706.3483,
"AUS","GDP","TOT","USD_CAP","A","2014",44971.470146,"E"
"AUT","GDP","TOT","USD_CAP","A","2011",44038.724883,
"AUT","GDP","TOT","USD_CAP","A","2012",44869.977741,
"AUT","GDP","TOT","USD_CAP","A","2013",45132.537208,
"AUT","GDP","TOT","USD_CAP","A","2014",46171.426401,
"BEL","GDP","TOT","USD_CAP","A","2011",41118.291654,
"BEL","GDP","TOT","USD_CAP","A","2012",41594.503034,
"BEL","GDP","TOT","USD_CAP","A","2013",41594.583909,
"BEL","GDP","TOT","USD_CAP","A","2014",42838.527686,
"CAN","GDP","TOT","USD_CAP","A","2011",41567.442968,
"CAN","GDP","TOT","USD_CAP","A","2012",42283.47383,
"CAN","GDP","TOT","USD_CAP","A","2013",43038.066207,
"CAN","GDP","TOT","USD_CAP","A","2014",44057.239431,
"CZE","GDP","TOT","USD_CAP","A","2011",28602.621284,
"CZE","GDP","TOT","USD_CAP","A","2012",28635.608866,
"CZE","GDP","TOT","USD_CAP","A","2013",28962.639309,
"CZE","GDP","TOT","USD_CAP","A","2014",30366.372804,
"DNK","GDP","TOT","USD_CAP","A","2011",43318.505007,
"DNK","GDP","TOT","USD_CAP","A","2012",43934.308921,
"DNK","GDP","TOT","USD_CAP","A","2013",44194.877779,
"DNK","GDP","TOT","USD_CAP","A","2014",45381.666652,
"FIN","GDP","TOT","USD_CAP","A","2011",40251.144125,
"FIN","GDP","TOT","USD_CAP","A","2012",40209.112568,
"FIN","GDP","TOT","USD_CAP","A","2013",40016.748677,
"FIN","GDP","TOT","USD_CAP","A","2014",39986.920468,
"FRA","GDP","TOT","USD_CAP","A","2011",37353.202439,
"FRA","GDP","TOT","USD_CAP","A","2012",37281.230311,
"FRA","GDP","TOT","USD_CAP","A","2013",37617.059592,
"FRA","GDP","TOT","USD_CAP","A","2014",38869.725026,
"DEU","GDP","TOT","USD_CAP","A","2011",42152.144742,
"DEU","GDP","TOT","USD_CAP","A","2012",42807.265881,
"DEU","GDP","TOT","USD_CAP","A","2013",43282.308356,
"DEU","GDP","TOT","USD_CAP","A","2014",44985.467088,
"GRC","GDP","TOT","USD_CAP","A","2011",26626.232773,
"GRC","GDP","TOT","USD_CAP","A","2012",25177.392013,
"GRC","GDP","TOT","USD_CAP","A","2013",25522.634865,
"GRC","GDP","TOT","USD_CAP","A","2014",25950.391401,
"HUN","GDP","TOT","USD_CAP","A","2011",22603.202681,
"HUN","GDP","TOT","USD_CAP","A","2012",22556.313054,
"HUN","GDP","TOT","USD_CAP","A","2013",23507.27994,
"HUN","GDP","TOT","USD_CAP","A","2014",24708.540611,
"ISL","GDP","TOT","USD_CAP","A","2011",39558.431596,
"ISL","GDP","TOT","USD_CAP","A","2012",40497.554058,
"ISL","GDP","TOT","USD_CAP","A","2013",41986.80103,
"ISL","GDP","TOT","USD_CAP","A","2014",43330.141595,
"IRL","GDP","TOT","USD_CAP","A","2011",45669.962531,
"IRL","GDP","TOT","USD_CAP","A","2012",45756.560293,
"IRL","GDP","TOT","USD_CAP","A","2013",46857.961273,
"IRL","GDP","TOT","USD_CAP","A","2014",48732.691738,
"ITA","GDP","TOT","USD_CAP","A","2011",35494.454893,
"ITA","GDP","TOT","USD_CAP","A","2012",35044.286437,
"ITA","GDP","TOT","USD_CAP","A","2013",34780.860254,
"ITA","GDP","TOT","USD_CAP","A","2014",35015.256371,
"JPN","GDP","TOT","USD_CAP","A","2011",34312.114426,
"JPN","GDP","TOT","USD_CAP","A","2012",35600.733728,
"JPN","GDP","TOT","USD_CAP","A","2013",36224.939825,
"JPN","GDP","TOT","USD_CAP","A","2014",36455.88494,"E"
"KOR","GDP","TOT","USD_CAP","A","2011",31327.403809,
"KOR","GDP","TOT","USD_CAP","A","2012",32022.025327,
"KOR","GDP","TOT","USD_CAP","A","2013",33088.861936,
"KOR","GDP","TOT","USD_CAP","A","2014",34355.699181,
"LUX","GDP","TOT","USD_CAP","A","2011",90888.713608,
"LUX","GDP","TOT","USD_CAP","A","2012",91255.95616,
"LUX","GDP","TOT","USD_CAP","A","2013",93233.738175,
"LUX","GDP","TOT","USD_CAP","A","2014",97272.567201,
"MEX","GDP","TOT","USD_CAP","A","2011",16366.300712,
"MEX","GDP","TOT","USD_CAP","A","2012",16808.21214,
"MEX","GDP","TOT","USD_CAP","A","2013",16891.091157,
"MEX","GDP","TOT","USD_CAP","A","2014",17830.718192,"E"
"NLD","GDP","TOT","USD_CAP","A","2011",46388.500348,
"NLD","GDP","TOT","USD_CAP","A","2012",46386.974134,
"NLD","GDP","TOT","USD_CAP","A","2013",46749.308799,
"NLD","GDP","TOT","USD_CAP","A","2014",47634.755297,
"NZL","GDP","TOT","USD_CAP","A","2011",32220.517456,
"NZL","GDP","TOT","USD_CAP","A","2012",32860.663188,
"NZL","GDP","TOT","USD_CAP","A","2013",34989.24018,
"NZL","GDP","TOT","USD_CAP","A","2014",36810.028021,"E"
"NOR","GDP","TOT","USD_CAP","A","2011",62737.796038,
"NOR","GDP","TOT","USD_CAP","A","2012",66357.727096,
"NOR","GDP","TOT","USD_CAP","A","2013",65685.190724,
"NOR","GDP","TOT","USD_CAP","A","2014",64940.385055,
"POL","GDP","TOT","USD_CAP","A","2011",22249.514793,"E"
"POL","GDP","TOT","USD_CAP","A","2012",23054.428988,"E"
"POL","GDP","TOT","USD_CAP","A","2013",23616.150692,"E"
"POL","GDP","TOT","USD_CAP","A","2014",24430.37814,"E"
"PRT","GDP","TOT","USD_CAP","A","2011",26932.320085,
"PRT","GDP","TOT","USD_CAP","A","2012",27000.508855,
"PRT","GDP","TOT","USD_CAP","A","2013",27651.245172,
"PRT","GDP","TOT","USD_CAP","A","2014",28382.468992,"E"
"SVK","GDP","TOT","USD_CAP","A","2011",25168.75326,
"SVK","GDP","TOT","USD_CAP","A","2012",25808.681574,
"SVK","GDP","TOT","USD_CAP","A","2013",26585.650199,
"SVK","GDP","TOT","USD_CAP","A","2014",27711.182174,
"ESP","GDP","TOT","USD_CAP","A","2011",32534.562078,
"ESP","GDP","TOT","USD_CAP","A","2012",32392.740471,
"ESP","GDP","TOT","USD_CAP","A","2013",32546.251515,
"ESP","GDP","TOT","USD_CAP","A","2014",33168.7529,
"SWE","GDP","TOT","USD_CAP","A","2011",43709.272876,
"SWE","GDP","TOT","USD_CAP","A","2012",43869.262881,
"SWE","GDP","TOT","USD_CAP","A","2013",44585.874524,
"SWE","GDP","TOT","USD_CAP","A","2014",45153.328831,
"CHE","GDP","TOT","USD_CAP","A","2011",54550.692599,
"CHE","GDP","TOT","USD_CAP","A","2012",55857.398169,
"CHE","GDP","TOT","USD_CAP","A","2013",56896.90726,
"CHE","GDP","TOT","USD_CAP","A","2014",57246.291237,
"TUR","GDP","TOT","USD_CAP","A","2011",17692.266396,
"TUR","GDP","TOT","USD_CAP","A","2012",18001.841539,"E"
"TUR","GDP","TOT","USD_CAP","A","2013",18599.265879,"E"
"TUR","GDP","TOT","USD_CAP","A","2014",19027.412092,"E"
"GBR","GDP","TOT","USD_CAP","A","2011",36575.082711,
"GBR","GDP","TOT","USD_CAP","A","2012",37605.153243,
"GBR","GDP","TOT","USD_CAP","A","2013",38743.01394,
"GBR","GDP","TOT","USD_CAP","A","2014",39709.452336,
"USA","GDP","TOT","USD_CAP","A","2011",49709.538331,
"USA","GDP","TOT","USD_CAP","A","2012",51368.22311,
"USA","GDP","TOT","USD_CAP","A","2013",52591.882944,
"USA","GDP","TOT","USD_CAP","A","2014",54353.192469,
"CHL","GDP","TOT","USD_CAP","A","2011",20188.52823,
"CHL","GDP","TOT","USD_CAP","A","2012",21108.342092,
"CHL","GDP","TOT","USD_CAP","A","2013",21888.04263,
"CHL","GDP","TOT","USD_CAP","A","2014",22253.768332,
"CHN","GDP","TOT","USD_CAP","A","2011",10016.634006,
"CHN","GDP","TOT","USD_CAP","A","2012",10917.474107,
"CHN","GDP","TOT","USD_CAP","A","2013",11874.377975,
"COL","GDP","TOT","USD_CAP","A","2011",11586.873582,
"COL","GDP","TOT","USD_CAP","A","2012",12103.447429,
"COL","GDP","TOT","USD_CAP","A","2013",12750.359499,"E"
"EST","GDP","TOT","USD_CAP","A","2011",23914.116217,
"EST","GDP","TOT","USD_CAP","A","2012",25205.781007,
"EST","GDP","TOT","USD_CAP","A","2013",26160.0771,
"EST","GDP","TOT","USD_CAP","A","2014",26901.637196,
"IDN","GDP","TOT","USD_CAP","A","2011",8906.894877,"E"
"IDN","GDP","TOT","USD_CAP","A","2012",9432.723906,"E"
"IDN","GDP","TOT","USD_CAP","A","2013",10022.576827,"E"
"ISR","GDP","TOT","USD_CAP","A","2011",30584.882482,
"ISR","GDP","TOT","USD_CAP","A","2012",31937.822373,
"ISR","GDP","TOT","USD_CAP","A","2013",32712.940299,
"ISR","GDP","TOT","USD_CAP","A","2014",33242.592674,
"RUS","GDP","TOT","USD_CAP","A","2011",22569.809562,
"RUS","GDP","TOT","USD_CAP","A","2012",24068.750901,"E"
"RUS","GDP","TOT","USD_CAP","A","2013",25150.88357,"E"
"SVN","GDP","TOT","USD_CAP","A","2011",28513.498679,
"SVN","GDP","TOT","USD_CAP","A","2012",28441.389319,
"SVN","GDP","TOT","USD_CAP","A","2013",28675.429454,
"SVN","GDP","TOT","USD_CAP","A","2014",29968.743758,
"ZAF","GDP","TOT","USD_CAP","A","2011",12291.726208,
"ZAF","GDP","TOT","USD_CAP","A","2012",12714.73623,
"ZAF","GDP","TOT","USD_CAP","A","2013",13002.322237,
"ZAF","GDP","TOT","USD_CAP","A","2014",13146.40287,
"EU28","GDP","TOT","USD_CAP","A","2011",34492.799107,
"EU28","GDP","TOT","USD_CAP","A","2012",34804.030014,
"EU28","GDP","TOT","USD_CAP","A","2013",35271.19015,
"EU28","GDP","TOT","USD_CAP","A","2014",36236.936377,
"OECD","GDP","TOT","USD_CAP","A","2011",36346.95784,"E"
"OECD","GDP","TOT","USD_CAP","A","2012",37136.371332,"E"
"OECD","GDP","TOT","USD_CAP","A","2013",37817.039752,"E"
"OECD","GDP","TOT","USD_CAP","A","2014",38867.151596,"E"
"OECDE","GDP","TOT","USD_CAP","A","2011",35320.078367,
"OECDE","GDP","TOT","USD_CAP","A","2012",35581.154381,"E"
"OECDE","GDP","TOT","USD_CAP","A","2013",35996.068518,"E"
"OECDE","GDP","TOT","USD_CAP","A","2014",36868.591827,"E"
"LVA","GDP","TOT","USD_CAP","A","2011",19914.645411,
"LVA","GDP","TOT","USD_CAP","A","2012",21124.009324,
"LVA","GDP","TOT","USD_CAP","A","2013",22502.522512,
"LVA","GDP","TOT","USD_CAP","A","2014",22822.745301,
"BRA","GDP","TOT","USD_CAP","A","2011",15065.354984,
"LTU","GDP","TOT","USD_CAP","A","2011",22541.723658,
"LTU","GDP","TOT","USD_CAP","A","2012",24098.676205,
"LTU","GDP","TOT","USD_CAP","A","2013",25719.357209,
"LTU","GDP","TOT","USD_CAP","A","2014",26745.946852,
"SAU","GDP","TOT","USD_CAP","A","2011",49229.772522,
"SAU","GDP","TOT","USD_CAP","A","2012",52015.925335,
"SAU","GDP","TOT","USD_CAP","A","2013",53712.815793,
"EA19","GDP","TOT","USD_CAP","A","2011",37181.655931,
"EA19","GDP","TOT","USD_CAP","A","2012",37303.6276,
"EA19","GDP","TOT","USD_CAP","A","2013",37605.976707,
"EA19","GDP","TOT","USD_CAP","A","2014",38619.20279,
"ARG","GDP","TOT","USD_CAP","A","2011",21300.57244,
"ARG","GDP","TOT","USD_CAP","A","2012",21783.28435,
"ARG","GDP","TOT","USD_CAP","A","2013",22816.526805,
"ARG","GDP","TOT","USD_CAP","A","2014",22179.30231,
